State,year,SO2,NO2,PM2.5
Andhra Pradesh,2011,6.917444645486632,14.339149518222078,70.65345891993631
Andhra Pradesh,2012,7.021030750547892,14.911603147236267,72.70358842455435
Andhra Pradesh,2013,7.067832840172173,15.658969611797943,70.84064066095377
Andhra Pradesh,2014,7.587377534394885,18.105959827367677,73.42130066319619
Andhra Pradesh,2015,7.205587497300552,21.80893445432491,74.8460185506066
Andhra Pradesh,2016,7.093965842324818,25.593547090733924,76.4380121233858
Andhra Pradesh,2017,5.826713626301395,27.17986228093452,78.22124395592735
Andhra Pradesh,2018,5.22819011245424,30.773386541285742,78.0857696857507
Andhra Pradesh,2019,5.035952963062743,33.453206133288006,79.83071565710257
Andhra Pradesh,2020,4.276355649175401,35.3150250048022,80.35093033775154
Arunachal Pradesh,2011,2.0,5.0,69.4
Arunachal Pradesh,2012,2.0,5.0,69.4
Arunachal Pradesh,2013,2.0,5.0,69.4
Arunachal Pradesh,2014,2.0,5.0,69.4
Arunachal Pradesh,2015,4.266666666666667,5.824999999999999,80.54166666666666
Arunachal Pradesh,2016,6.533333333333333,6.6499999999999995,91.68333333333334
Arunachal Pradesh,2017,8.8,7.474999999999999,102.82499999999999
Arunachal Pradesh,2018,11.066666666666666,8.299999999999999,113.96666666666667
Arunachal Pradesh,2019,13.333333333333334,9.125,125.10833333333333
Arunachal Pradesh,2020,15.600000000000001,9.95,136.25
Assam,2011,6.001800290496656,13.814236156291978,70.84759887220704
Assam,2012,6.001800290496656,13.814236156291978,70.84759887220704
Assam,2013,6.862511475615529,15.247843538138689,110.1297166095488
Assam,2014,6.882548622634238,14.372545611756795,70.15754495142946
Assam,2015,7.240595104476349,14.143581307700442,94.59318618291893
Assam,2016,7.572073165607278,13.87133936228881,118.27589005715647
Assam,2017,7.6140490528312545,13.649308990650363,143.49007709704023
Assam,2018,7.656024940055229,13.42727861901191,168.704264136924
Assam,2019,7.698000827279204,13.20524824737346,193.9184511768078
Assam,2020,7.731058383917242,13.089125418352555,220.41931767817601
Bihar,2011,4.322072072072072,36.516666666666666,162.64144144144143
Bihar,2012,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,2013,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,2014,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,2015,6.588011967484724,36.435456580996885,148.08891412101474
Bihar,2016,5.708521174863389,36.15662568306011,126.84620047814207
Bihar,2017,6.544285958904109,41.197176369863016,125.09354880136985
Bihar,2018,13.490217465753425,41.81480308219178,123.37032962328769
Bihar,2019,14.470070205479452,40.869166095890414,119.70566523972602
Bihar,2020,7.350379846115687,37.373443139076535,56.509526703770355
Chandigarh,2011,2.013179451090781,15.854622218622008,100.51056897479904
Chandigarh,2012,2.004489795918367,19.899173218217904,107.19435184990346
Chandigarh,2013,2.004054054054054,23.248493743571277,101.58931629409396
Chandigarh,2014,2.0,21.270204682030602,91.12062879415056
Chandigarh,2015,6.0403305785124,18.1494439419174,73.077198026303
Chandigarh,2016,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,2017,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,2018,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,2019,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,2020,10.21142076502732,12.315136612021863,27.69661202185793
Chhattisgarh,2011,10.337902852246808,26.678720516048735,153.61947624640356
Chhattisgarh,2012,10.06039210881444,26.210767616243604,146.7002943469444
Chhattisgarh,2013,10.044076518586285,25.83935669587955,140.86500424585358
Chhattisgarh,2014,10.023392526030523,25.124647397781224,128.55231913548346
Chhattisgarh,2015,10.137204228311608,24.93941477656536,120.11701464681113
Chhattisgarh,2016,10.251015930592695,24.754182155349497,111.6817101581388
Chhattisgarh,2017,10.36482763287378,24.568949534133637,103.24640566946647
Chhattisgarh,2018,10.478639335154867,24.383716912917777,94.81110118079417
Chhattisgarh,2019,10.592451037435954,24.198484291701917,86.37579669212184
Chhattisgarh,2020,10.706262739717038,24.013251670486056,77.94049220344951
Dadra & Nagar Haveli,2011,7.592783505154638,19.354639175257734,39.203106621462716
Dadra & Nagar Haveli,2012,7.618666666666668,20.18133333333333,83.59731543624164
Dadra & Nagar Haveli,2013,7.618666666666668,20.18133333333333,83.59731543624164
Dadra & Nagar Haveli,2014,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2015,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2016,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2017,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2018,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2019,15.883720930232558,26.906976744186046,88.67441860465117
Dadra & Nagar Haveli,2020,15.883720930232558,26.906976744186046,88.67441860465117
Daman & Diu,2011,7.490990990990992,19.61171171171171,38.372261150038966
Daman & Diu,2012,7.628947368421052,20.147368421052633,77.36419753086425
Daman & Diu,2013,7.628947368421052,20.147368421052633,77.36419753086425
Daman & Diu,2014,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2015,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2016,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2017,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2018,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2019,14.454545454545455,24.954545454545453,83.06818181818181
Daman & Diu,2020,14.454545454545455,24.954545454545453,83.06818181818181
