State,year,Population
MAHARASHTRA,2013,115759050
MAHARASHTRA,2014,117489450
MAHARASHTRA,2015,119245716
MAHARASHTRA,2016,121028235
MAHARASHTRA,2017,122837400
MAHARASHTRA,2018,124673609
MAHARASHTRA,2019,126537266
MAHARASHTRA,2020,128428781
MANIPUR,2011,2855794
MANIPUR,2012,2919054
MANIPUR,2013,2983716
MANIPUR,2014,3049810
MANIPUR,2015,3117368
MANIPUR,2016,3186423
MANIPUR,2017,3257007
MANIPUR,2018,3329155
MANIPUR,2019,3402901
MANIPUR,2020,3478281
MEGHALAYA,2011,2966888
MEGHALAYA,2012,3040917
MEGHALAYA,2013,3116793
MEGHALAYA,2014,3194563
MEGHALAYA,2015,3274272
MEGHALAYA,2016,3355971
MEGHALAYA,2017,3439708
MEGHALAYA,2018,3525534
MEGHALAYA,2019,3613502
MEGHALAYA,2020,3703665
MIZORAM,2011,1097206
MIZORAM,2012,1120592
MIZORAM,2013,1144477
MIZORAM,2014,1168871
MIZORAM,2015,1193785
MIZORAM,2016,1219230
MIZORAM,2017,1245217
MIZORAM,2018,1271758
MIZORAM,2019,1298865
MIZORAM,2020,1326550
NAGALAND,2011,1978502
NAGALAND,2012,1977352
NAGALAND,2013,1976203
NAGALAND,2014,1975054
NAGALAND,2015,1973907
NAGALAND,2016,1972760
NAGALAND,2017,1971613
NAGALAND,2018,1970467
NAGALAND,2019,1969322
NAGALAND,2020,1968178
NCT OF DELHI,2011,16787941
NCT OF DELHI,2012,17113963
NCT OF DELHI,2013,17446318
NCT OF DELHI,2014,17785126
NCT OF DELHI,2015,18130514
NCT OF DELHI,2016,18482610
NCT OF DELHI,2017,18841544
NCT OF DELHI,2018,19207448
NCT OF DELHI,2019,19580457
NCT OF DELHI,2020,19960711
ODISHA,2011,41974218
ODISHA,2012,42529531
ODISHA,2013,43092190
ODISHA,2014,43662294
ODISHA,2015,44239940
ODISHA,2016,44825228
ODISHA,2017,45418260
ODISHA,2018,46019137
ODISHA,2019,46627964
ODISHA,2020,47244845
PUDUCHERRY,2011,1247952
PUDUCHERRY,2012,1279224
PUDUCHERRY,2013,1311279
