State,year,Number
Madhya Pradesh,2015,11141
Madhya Pradesh,2016,11141
Madhya Pradesh,2017,11141.0
Madhya Pradesh,2018,11141.0
Madhya Pradesh,2019,11141.0
Madhya Pradesh,2020,11141.0
Maharashtra,2011,17434
Maharashtra,2012,19432
Maharashtra,2013,21488
Maharashtra,2014,23394
Maharashtra,2015,25562
Maharashtra,2016,27870
Maharashtra,2017,30178.0
Maharashtra,2018,32486.0
Maharashtra,2019,34794.0
Maharashtra,2020,37102.0
Manipur,2011,207
Manipur,2012,215
Manipur,2013,296
Manipur,2014,395
Manipur,2015,307
Manipur,2016,306
Manipur,2017,305.0
Manipur,2018,304.0
Manipur,2019,303.0
Manipur,2020,302.0
Meghalaya,2011,176
Meghalaya,2012,198
Meghalaya,2013,220
Meghalaya,2014,248
Meghalaya,2015,267
Meghalaya,2016,558
Meghalaya,2017,849.0
Meghalaya,2018,1140.0
Meghalaya,2019,1431.0
Meghalaya,2020,1722.0
Mizoram,2011,93
Mizoram,2012,102
Mizoram,2013,121
Mizoram,2014,137
Mizoram,2015,151
Mizoram,2016,171
Mizoram,2017,191.0
Mizoram,2018,211.0
Mizoram,2019,231.0
Mizoram,2020,251.0
Nagaland,2011,273
Nagaland,2012,291
Nagaland,2013,311
Nagaland,2014,318
Nagaland,2015,334
Nagaland,2016,380
Nagaland,2017,426.0
Nagaland,2018,472.0
Nagaland,2019,518.0
Nagaland,2020,564.0
Odisha,2011,3338
Odisha,2012,3759
Odisha,2013,4216
Odisha,2014,4702
Odisha,2015,5219
Odisha,2016,5833
Odisha,2017,6447.0
Odisha,2018,7061.0
Odisha,2019,7675.0
Odisha,2020,8289.0
Puducherry,2011,673
Puducherry,2012,755
Puducherry,2013,700
Puducherry,2014,751
Puducherry,2015,803
Puducherry,2016,863
Puducherry,2017,923.0
Puducherry,2018,983.0
Puducherry,2019,1043.0
Puducherry,2020,1103.0
Punjab,2011,5274
Punjab,2012,6263
Punjab,2013,6263
Punjab,2014,6263
Punjab,2015,6263
Punjab,2016,9064
Punjab,2017,11865.0
Punjab,2018,14666.0
Punjab,2019,17467.0
Punjab,2020,20268.0
Rajasthan,2011,7986
Rajasthan,2012,8985
Rajasthan,2013,10072
Rajasthan,2014,11133
Rajasthan,2015,12379
Rajasthan,2016,13632
Rajasthan,2017,14885.0
Rajasthan,2018,16138.0
Rajasthan,2019,17391.0
Rajasthan,2020,18644.0
Sikkim,2011,39
Sikkim,2012,43
Sikkim,2013,36
Sikkim,2014,40
Sikkim,2015,43
Sikkim,2016,49
Sikkim,2017,55.0
Sikkim,2018,61.0
Sikkim,2019,67.0
Sikkim,2020,73.0
Tamil Nadu,2011,15638
Tamil Nadu,2012,17412
Tamil Nadu,2013,19232
Tamil Nadu,2014,20864
Tamil Nadu,2015,22519
Tamil Nadu,2016,24203
Tamil Nadu,2017,25887.0
Tamil Nadu,2018,27571.0
Tamil Nadu,2019,29255.0
Tamil Nadu,2020,30939.0
Tripura,2011,188
Tripura,2012,204
Tripura,2013,245
Tripura,2014,256
Tripura,2015,282
Tripura,2016,319
Tripura,2017,356.0
Tripura,2018,393.0
Tripura,2019,430.0
Tripura,2020,467.0
Uttar Pradesh,2011,13287
Uttar Pradesh,2012,15445
Uttar Pradesh,2013,17048
Uttar Pradesh,2014,19115
Uttar Pradesh,2015,21636
Uttar Pradesh,2016,23936
Uttar Pradesh,2017,26236.0
Uttar Pradesh,2018,28536.0
Uttar Pradesh,2019,30836.0
Uttar Pradesh,2020,33136.0
Uttarakhand,2011,997
Uttarakhand,2012,1244
Uttarakhand,2013,1460
Uttarakhand,2014,1640
Uttarakhand,2015,1827
Uttarakhand,2016,1888
Uttarakhand,2017,1949.0
Uttarakhand,2018,2010.0
Uttarakhand,2019,2071.0
Uttarakhand,2020,2132.0
West Bengal,2011,3261
West Bengal,2012,3861
West Bengal,2013,6111
West Bengal,2014,6745
West Bengal,2015,7403
West Bengal,2016,6488
West Bengal,2017,5573.0
West Bengal,2018,4658.0
West Bengal,2019,3743.0
West Bengal,2020,2828.0
