State,Year,SO2,NO2,PM2.5,Mpc,zscore,spot,xco,yco
Bihar,2015,6.588011967484724,36.435456580996885,148.08891412101474,63.70412755649878,-0.142,0.0,25.6254,85.9215
Bihar,2016,5.708521174863389,36.15662568306011,126.84620047814208,56.237115778688526,-0.459,0.0,25.6254,85.9215
Bihar,2017,6.544285958904109,41.197176369863016,125.09354880136983,57.61167037671232,-0.238,0.0,25.6254,85.9215
Bihar,2018,13.490217465753425,41.81480308219178,123.37032962328767,59.55845005707763,-0.08,0.0,25.6254,85.9215
Bihar,2019,14.470070205479452,40.869166095890414,119.70566523972602,58.34830051369863,0.062,0.0,25.6254,85.9215
Bihar,2020,7.350379846115687,37.373443139076535,56.50952670377036,33.744449896320866,-0.663,-1.0,25.6254,85.9215
Chandigarh,2011,2.013179451090781,15.854622218622008,100.51056897479904,39.45945688150395,-21.323,-1.0,30.7333,76.7794
Chandigarh,2012,2.004489795918367,19.899173218217904,107.19435184990346,43.03267162134657,-166.33,-1.0,30.7333,76.7794
Chandigarh,2013,2.004054054054054,23.24849374357128,101.58931629409396,42.280621363906434,-8.334,-1.0,30.7333,76.7794
Chandigarh,2014,2.0,21.2702046820306,91.12062879415056,38.13027782539372,-9.166,-1.0,30.7333,76.7794
Chandigarh,2015,6.0403305785124,18.1494439419174,73.077198026303,32.42232418224427,-2.562,-1.0,30.7333,76.7794
Chandigarh,2016,10.0806611570248,10.864876033057854,60.68099173553722,27.208842975206625,-3.353,-1.0,30.7333,76.7794
Chandigarh,2017,10.0806611570248,10.864876033057854,60.68099173553722,27.208842975206625,-2.721,-1.0,30.7333,76.7794
Chandigarh,2018,10.0806611570248,10.864876033057854,60.68099173553722,27.208842975206625,-4.234,-1.0,30.7333,76.7794
Chandigarh,2019,10.0806611570248,10.864876033057854,60.68099173553722,27.208842975206625,-4.891,-1.0,30.7333,76.7794
Chandigarh,2020,10.21142076502732,12.315136612021863,27.69661202185793,16.74105646630237,-3.466,-1.0,30.7333,76.7794
Chhattisgarh,2011,10.337902852246808,26.67872051604873,153.61947624640356,63.54536653823303,0.583,1.0,22.09042035,82.15998734
Chhattisgarh,2012,10.06039210881444,26.210767616243604,146.7002943469444,60.99048469066747,0.421,0.0,22.09042035,82.15998734
Chhattisgarh,2013,10.044076518586284,25.83935669587955,140.86500424585358,58.91614582010647,0.453,0.0,22.09042035,82.15998734
Chhattisgarh,2014,10.023392526030523,25.124647397781224,128.55231913548346,54.5667863530984,0.294,0.0,22.09042035,82.15998734
Chhattisgarh,2015,10.137204228311608,24.93941477656536,120.11701464681111,51.731211217229365,0.159,0.0,22.09042035,82.15998734
